BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
1,ResNet50,Height,OOD,8,0,0.18432190599999998
1,ResNet50,Height,OOD,8,1,0.1755536515
1,ResNet50,Height,OOD,8,2,0.157908455
1,ResNet50,Height,OOD,8,3,0.19808002449999998
1,ResNet50,Height,OOD,8,4,0.20456796400000002
1,ResNet50,Height,OOD,16,0,0.222886412
1,ResNet50,Height,OOD,16,1,0.243229945
1,ResNet50,Height,OOD,16,2,0.19070062000000002
1,ResNet50,Height,OOD,16,3,0.23221313799999999
1,ResNet50,Height,OOD,16,4,0.248811379
2,VGG19,Ratio,IID,2,0,0.0076976844999999995
2,VGG19,Ratio,IID,2,1,0.008971084499999999
2,VGG19,Ratio,IID,2,2,0.009570447
2,VGG19,Ratio,IID,2,3,0.011635575
2,VGG19,Ratio,IID,2,4,0.009122071499999999
2,VGG19,Ratio,IID,4,0,0.012243458
2,VGG19,Ratio,IID,4,1,0.010166027499999999
2,VGG19,Ratio,IID,4,2,0.0104206975
2,VGG19,Ratio,IID,4,3,0.0109927045
2,VGG19,Ratio,IID,4,4,0.010684231999999998
2,VGG19,Ratio,IID,8,0,0.0163315465
2,VGG19,Ratio,IID,8,1,0.0445225955
2,VGG19,Ratio,IID,8,2,0.012845423499999998
2,VGG19,Ratio,IID,8,3,0.015307859499999998
2,VGG19,Ratio,IID,8,4,0.017702353499999997
2,VGG19,Ratio,IID,16,0,0.11262816299999999
2,VGG19,Ratio,IID,16,1,0.1563574775
2,VGG19,Ratio,IID,16,2,0.168182683
2,VGG19,Ratio,IID,16,3,0.1476427425
2,VGG19,Ratio,IID,16,4,0.076810218
2,VGG19,Ratio,COV,2,0,0.0071482740000000005
2,VGG19,Ratio,COV,2,1,0.0110058875
2,VGG19,Ratio,COV,2,2,0.009476639499999998
2,VGG19,Ratio,COV,2,3,0.007557939000000001
2,VGG19,Ratio,COV,2,4,0.019063883500000003
2,VGG19,Ratio,COV,4,0,0.008159813999999998
2,VGG19,Ratio,COV,4,1,0.010013876
2,VGG19,Ratio,COV,4,2,0.012240135
2,VGG19,Ratio,COV,4,3,0.0077280445
2,VGG19,Ratio,COV,4,4,0.019093778500000002
2,VGG19,Ratio,COV,8,0,0.018748126
2,VGG19,Ratio,COV,8,1,0.014441619
2,VGG19,Ratio,COV,8,2,0.0145637025
2,VGG19,Ratio,COV,8,3,0.013846335000000001
2,VGG19,Ratio,COV,8,4,0.0168007645
2,VGG19,Ratio,COV,16,0,0.0823052785
2,VGG19,Ratio,COV,16,1,0.0925944835
2,VGG19,Ratio,COV,16,2,0.1025894745
2,VGG19,Ratio,COV,16,3,0.09233903
2,VGG19,Ratio,COV,16,4,0.107338373
2,VGG19,Ratio,ADV,2,0,0.0089261285
2,VGG19,Ratio,ADV,2,1,0.008974079499999999
2,VGG19,Ratio,ADV,2,2,0.009759351
2,VGG19,Ratio,ADV,2,3,0.0136182455
2,VGG19,Ratio,ADV,2,4,0.009748775999999999
2,VGG19,Ratio,ADV,4,0,0.0986725475
2,VGG19,Ratio,ADV,4,1,0.013959626499999999
2,VGG19,Ratio,ADV,4,2,0.045177209999999995
2,VGG19,Ratio,ADV,4,3,0.029647181
2,VGG19,Ratio,ADV,4,4,0.025587862500000003
2,VGG19,Ratio,ADV,8,0,0.181157701
2,VGG19,Ratio,ADV,8,1,0.036159251499999996
2,VGG19,Ratio,ADV,8,2,0.08340864249999999
2,VGG19,Ratio,ADV,8,3,0.140341944
2,VGG19,Ratio,ADV,8,4,0.13475417150000002
2,VGG19,Ratio,ADV,16,0,0.5383075265
2,VGG19,Ratio,ADV,16,1,0.172708106
2,VGG19,Ratio,ADV,16,2,0.15837291350000002
2,VGG19,Ratio,ADV,16,3,0.3754075155
2,VGG19,Ratio,ADV,16,4,0.1803252195
